harness=ranked  board /tmp/yukon-board/full.json  167 receipts since 2026-08-21T00:00

createdAt            receipt   solver         published  candidate     serial       F76
2026-08-21T23:49:27  0e849bfc  nagaral         3.322979   0.015330   0.037907  -13.4281
2026-08-21T23:50:26  e987b29b  Carme99         3.324289   0.015426   0.038098  -12.1791
2026-08-21T23:59:20  bc070b7b  francip         3.359220   0.015260   0.038054  -13.4103
2026-08-22T00:10:03  b8c3130c  audreyt         3.346483   0.015297   0.037956  -13.4033
2026-08-22T00:30:55  7bef7d4c  morganmcg1      3.297924   0.015440   0.038040  -12.5202
2026-08-22T00:33:32  7d8b5770  jonathan308     3.339454   0.015285   0.037970  -13.3256
2026-08-22T00:57:23  3c0750f6  nijaru          3.341969   0.015271   0.037981  -13.3966
2026-08-22T01:16:42  ea8867f9  nagaral         3.308417   0.015424   0.037991  -12.2174
2026-08-22T01:29:37  d4251aa6  xadahiya        3.343624   0.015264   0.037974  -13.3868
2026-08-22T01:44:10  15f8f041  Lieisyourlie    3.343509   0.015264   0.038020  -13.5059
2026-08-22T01:50:58  04ead7d9  francip         3.127918   0.013854   0.037941    9.3933
2026-08-22T01:53:01  ac67891e  audreyt         3.345133   0.015273   0.037967  -13.5060
2026-08-22T02:31:48  305e15fe  nijaru          3.329908   0.015293   0.037960  -13.3780
2026-08-22T02:36:13  79a80e8a  Amal-David      3.315893   0.015444   0.037987  -12.1354
2026-08-22T02:42:09  5bdd5bd8  jonathan308     3.338300   0.015261   0.037944  -13.4158
2026-08-22T03:30:28  a5cd3efd  nagaral         3.345648   0.015267   0.037973  -13.4589
2026-08-22T03:45:53  5e937cb7  audreyt         3.304516   0.015433   0.037986  -12.3465
2026-08-22T03:59:48  b0c80733  scarletbright   3.324378   0.015311   0.037946  -13.2071
2026-08-22T04:12:32  ec778a91  Amal-David      3.346641   0.015269   0.037978  -13.4240
2026-08-22T04:16:17  4c56a795  Lieisyourlie    3.318810   0.015419   0.037995  -12.4051
2026-08-22T04:30:19  ccc51842  nagaral         3.345985   0.015292   0.037996  -13.1695
2026-08-22T04:43:02  b01986d8  audreyt         3.339985   0.015264   0.037932  -13.4541
2026-08-22T05:01:51  6822204d  newjordan       3.329858   0.015369   0.038010  -12.6260
2026-08-22T05:34:21  6eac5eed  nagaral         3.344861   0.015291   0.037942  -13.2077
2026-08-22T05:35:45  d731f404  scarletbright   3.347308   0.015263   0.037982  -13.4472
2026-08-22T05:36:01  5d351688  Lieisyourlie    3.321961   0.015399   0.038054  -12.2697
2026-08-22T06:18:01  42bd9dac  nagaral         3.335566   0.015289   0.037948  -13.1785
2026-08-22T06:20:41  cf9a9eda  morganmcg1      3.268153   0.015486   0.037957  -12.9921
2026-08-22T06:33:58  aff80423  scarletbright   3.315776   0.015421   0.038029  -12.3760
2026-08-22T06:41:02  4d3a03aa  francip         3.351854   0.015273   0.038002  -13.4214
2026-08-22T06:52:25  edd3c106  Carme99         3.342388   0.015268   0.037977  -13.4168
2026-08-22T07:02:33  f7fbedbc  nagaral         3.298832   0.015451   0.038024  -12.0763
2026-08-22T07:37:10  7baf271c  newjordan       3.344750   0.015266   0.037989  -13.3912
2026-08-22T08:27:51  d3c491b5  morganmcg1      3.490650   0.014922   0.037989  -13.3603
2026-08-22T09:26:26  730b635d  noskillcoding   3.348812   0.015264   0.037972  -13.4171
2026-08-22T09:28:33  cf79f7df  Lieisyourlie    3.516617   0.014769   0.037952  -14.2081
2026-08-22T09:32:34  15ae6952  nagaral         3.292976   0.015442   0.037983  -12.0025
2026-08-22T09:36:25  c63eaa21  newjordan       3.507747   0.014768   0.037953  -14.1744
2026-08-22T09:52:31  c35afdf7  Carme99         3.344057   0.015263   0.037993  -13.4687
2026-08-22T09:58:18  1986338b  fkiene          3.473584   0.014914   0.037979  -13.4031
2026-08-22T10:04:03  48423d09  noskillcoding   3.518453   0.014768   0.037931  -14.1684
2026-08-22T10:17:47  2d02ef0b  nagaral         3.459292   0.014927   0.037941  -13.3711
2026-08-22T10:50:40  3b376ba2  Lieisyourlie    3.517689   0.014760   0.037967  -14.2461
2026-08-22T11:02:45  390ec878  newjordan       3.515941   0.014771   0.037946  -14.2046
2026-08-22T11:35:54  b3c69fc5  vibecodooor     3.463407   0.014898   0.037923  -12.8896
2026-08-22T11:42:38  0c6191b7  morganmcg1      3.512706   0.014758   0.037935  -14.2455
2026-08-22T11:47:24  dd3c1ff7  Lieisyourlie    3.512449   0.014767   0.037961  -14.1444
2026-08-22T11:50:37  555cb9e3  nagaral         3.489927   0.014921   0.037959  -13.2641
